cancel ['kænsl]
representative [ˌreprɪ'zentətɪv]
terror ['terə(r)]
beneath [bɪ'niːθ]
everyone ['evriwʌn]
lay [leɪ]
swap [swɒp]
hatch [hætʃ]
pardon ['pɑːdn]
plenty ['plenti]
tick [tɪk]
basis ['beɪsɪs]
adventure [əd'ventʃə(r)]
condition [kən'dɪʃn]
improve [ɪm'pruːv]
ceremony ['serəməni]
bingo ['bɪŋɡəʊ]
try [traɪ]
gym [dʒɪm]
basic ['beɪsɪk]
twist [twɪst]
unite [ju'naɪt]
bush [bʊʃ]
technique [tek'niːk]
cause [kɔːz]
dioxide [daɪ'ɒksaɪd]
wound [wuːnd]
catastrophe [kə'tæstrəfi]
busy ['bɪzi]
convey [kən'veɪ]
extra ['ekstrə]
design [dɪ'zaɪn]
generous ['dʒenərəs]
land [lænd]
coincidence [kəʊ'ɪnsɪdəns]
victim ['vɪktɪm]
department [dɪ'pɑːtmənt]
possibility [ˌpɒsə'bɪləti]
direction [də'rekʃn]
exhibition [ˌeksɪ'bɪʃn]
burn [bɜːn]
garlic ['ɡɑːlɪk]
alcoholic [ˌælkə'hɒlɪk]
bachelor ['bætʃələ(r)]
countryside ['kʌntrisaɪd]
chief [tʃiːf]
automatic [ˌɔːtə'mætɪk]
lamp [læmp]
cry [kraɪ]
Antarctic [æn'tɑːktɪk]
conduct [kən'dʌkt]
bury ['beri]
obey [ə'beɪ]
stable ['steɪbl]
lamb [læm]
fantastic [fæn'tæstɪk]
changeable ['tʃeɪndʒəbl]
spoken ['spəʊkən]
respond [rɪ'spɒnd]
incident ['ɪnsɪdənt]
walk [wɔːk]
lame [leɪm]
marry ['mæri]
pity ['pɪti]
absorb [əb'sɔːb]
supply [sə'plaɪ]
uncertain [ʌn'sɜːtn]
concern [kən'sɜːn]
circulate ['sɜːkjəleɪt]
liberty ['lɪbəti]
recycle [ˌriː'saɪkl]
let [let]
state [steɪt]
press [pres]
welcome ['welkəm]
confidential [ˌkɒnfɪ'denʃl]
chaos ['keɪɒs]
abundant [ə'bʌndənt]
want [wɒnt]
pace [peɪs]
ballet ['bæleɪ]
opposite ['ɒpəzɪt]
forecast ['fɔːkɑːst]
recognize ['rekəɡnaɪz]
warehouse ['weəhaʊs]
pack [pæk]
each [iːtʃ]
abnormal [æb'nɔːml]
difference ['dɪfrəns]
must [mʌst]
circle ['sɜːkl]
resign [rɪ'zaɪn]
drier ['draɪə]
bathe [beɪð]
polite [pə'laɪt]
cut [kʌt]
entertainment [ˌentə'teɪnmənt]
probably ['prɒbəbli]
document ['dɒkjumənt]
aluminum [ə'luːmɪnəm]
ward [wɔːd]
starve [stɑːv]
prize [praɪz]
accident ['æksɪdənt]
clay [kleɪ]
moment ['məʊmənt]
anyway ['eniweɪ]
promote [prə'məʊt]
routine [ruː'tiːn]
found [faʊnd]
tear [teə(r)]
excuse [ɪk'skjuːs]
attack [ə'tæk]
spoonful ['spuːnfʊl]
humour ['hjuːmə(r)]
divorce [dɪ'vɔːs]
currency ['kʌrənsi]
distribute [dɪ'strɪbjuːt]
worried ['wʌrid]
attach [ə'tætʃ]
canal [kə'næl]
shout [ʃaʊt]
escape [ɪ'skeɪp]
flashlight ['flæʃlaɪt]
ankle ['æŋkl]
situation [ˌsɪtʃu'eɪʃn]
think [θɪŋk]
receive [rɪ'siːv]
thirst [θɜːst]
participate [pɑː'tɪsɪpeɪt]
surplus ['sɜːpləs]
refresh [rɪ'freʃ]
librarian [laɪ'breəriən]
theft [θeft]
religion [rɪ'lɪdʒən]
diagram ['daɪəɡræm]
claw [klɔː]
prayer [preə(r)]
speech [spiːtʃ]
watch [wɒtʃ]
clap [klæp]
quit [kwɪt]
polish ['pɒlɪʃ]
chart [tʃɑːt]
insurance [ɪn'ʃʊərəns]
medical ['medɪkl]
principle ['prɪnsəpl]
till [tɪl]
attend [ə'tend]
goods [ɡʊdz]
lie [laɪ]
secure [sɪ'kjʊə(r)]
smell [smel]
used to 
unable [ʌn'eɪbl]
glare [ɡleə(r)]
disappointed [ˌdɪsə'pɔɪntɪd]
irrigation [ˌɪrɪ'ɡeɪʃn]
late [leɪt]
continue [kən'tɪnjuː]
shoot [ʃuːt]
realize ['riːəlaɪz]
budget ['bʌdʒɪt]
actual ['æktʃuəl]
tension ['tenʃn]
chest [tʃest]
eastern ['iːstən]
marathon ['mærəθən]
last [lɑːst]
adapt [ə'dæpt]
wash [wɒʃ]
weight [weɪt]
doubt [daʊt]
cheerful ['tʃɪəfl]
uncomfortable [ʌn'kʌmftəbl]
develop [dɪ'veləp]
misunderstand [ˌmɪsʌndə'stænd]
warn [wɔːn]
measure ['meʒə(r)]
guilty ['ɡɪlti]
crossroads ['krɒsrəʊdz]
district ['dɪstrɪkt]
receipt [rɪ'siːt]
assume [ə'sjuːm]
swim [swɪm]
full [fʊl]
basement ['beɪsmənt]
pepper ['pepə(r)]
chant [tʃɑːnt]
capsule ['kæpsjuːl]
away [ə'weɪ]
memory ['meməri]
concept ['kɒnsept]
motivation [ˌməʊtɪ'veɪʃn]
impossible [ɪm'pɒsəbl]
effort ['efət]
wave [weɪv]
disaster [dɪ'zɑːstə(r)]
anything ['eniθɪŋ]
agriculture ['æɡrɪkʌltʃə(r)]
grocer ['ɡrəʊsə(r)]
ecology [i'kɒlədʒi]
stare [steə(r)]
painful ['peɪnfl]
steady ['stedi]
vote [vəʊt]
early ['ɜːli]
harvest ['hɑːvɪst]
pain [peɪn]
disease [dɪ'ziːz]
start [stɑːt]
purchase ['pɜːtʃəs]
yet [jet]
engineer [ˌendʒɪ'nɪə(r)]
pair [peə(r)]
manage ['mænɪdʒ]
equal ['iːkwəl]
alike [ə'laɪk]
gravity ['ɡrævəti]
typical ['tɪpɪkl]
bravery ['breɪvəri]
finance ['faɪnæns]
parking ['pɑːkɪŋ]
shadow ['ʃædəʊ]
hydrogen ['haɪdrədʒən]
put [pʊt]
climb [klaɪm]
offence [ə'fens]
carbon ['kɑːbən]
circus ['sɜːkəs]
controversial [ˌkɒntrə'vɜːʃl]
dinosaur ['daɪnəsɔː(r)]
enter ['entə(r)]
attain [ə'teɪn]
trap [træp]
lonely ['ləʊnli]
tram [træm]
pale [peɪl]
struggle ['strʌɡl]
gallery ['ɡæləri]
pest [pest]
warmth [wɔːmθ]
lesson ['lesn]
destroy [dɪ'strɔɪ]
supreme [suː'priːm]
ambulance ['æmbjʊləns]
junior ['dʒuːniə(r)]
coast [kəʊst]
shuttle ['ʃʌtl]
provide [prə'vaɪd]
allocate ['æləkeɪt]
light [laɪt]
valuable ['væljuəbl]
primary ['praɪməri]
stubborn ['stʌbən]
enterprise ['entəpraɪz]
paperwork ['peɪpəwɜːk]
solar ['səʊlə(r)]
consume [kən'sjuːm]
triangle ['traɪæŋɡl]
competence ['kɒmpɪtəns]
helmet ['helmɪt]
theme [θiːm]
consult [kən'sʌlt]
merely ['mɪəli]
wealth [welθ]
editor ['edɪtə(r)]
means [miːnz]
chain [tʃeɪn]
desire [dɪ'zaɪə(r)]
survive [sə'vaɪv]
initial [ɪ'nɪʃl]
muddy ['mʌdi]
consistent [kən'sɪstənt]
sword [sɔːd]
fingernail ['fɪŋɡəneɪl]
permanent ['pɜːmənənt]
chat [tʃæt]
fetch [fetʃ]
fellow ['feləʊ]
choice [tʃɔɪs]
travel ['trævl]
civilization [ˌsɪvəlaɪ'zeɪʃn]
before [bɪ'fɔː(r)]
fiction ['fɪkʃn]
friendly ['frendli]
possession [pə'zeʃn]
tell [tel]
replace [rɪ'pleɪs]
appointment [ə'pɔɪntmənt]
stomach ['stʌmək]
experience [ɪk'spɪəriəns]
listen ['lɪsn]
hit [hɪt]
major ['meɪdʒə(r)]
interrupt [ˌɪntə'rʌpt]
beat [biːt]
worldwide ['wɜːldwaɪd]
bear [beə(r)]
affair [ə'feə(r)]
consider [kən'sɪdə(r)]
housework ['haʊswɜːk]
potential [pə'tenʃl]
accustomed [ə'kʌstəmd]
group [ɡruːp]
jewelry ['dʒuːəlrɪ]
obtain [əb'teɪn]
lounge [laʊndʒ]
rugby ['rʌɡbɪ]
resist [rɪ'zɪst]
format ['fɔːmæt]
sacrifice ['sækrɪfaɪs]
particular [pə'tɪkjələ(r)]
illegal [ɪ'liːɡl]
pause [pɔːz]
congratulate [kən'grætjʊˌleɪt]
careless ['keələs]
square [skweə(r)]
rainbow ['reɪnbəʊ]
twice [twaɪs]
ample ['æmpl]
altitude ['æltɪtjuːd]
request [rɪ'kwest]
classify ['klæsɪfaɪ]
part [pɑːt]
percent [pə'sent]
point [pɔɪnt]
paddle ['pædl]
general ['dʒenrəl]
tend [tend]
frighten ['fraɪtn]
relief [rɪ'liːf]
boycott ['bɔɪkɒt]
dimension [daɪ'menʃn]
park [pɑːk]
unbelievable [ˌʌnbɪ'liːvəbl]
process ['prəʊsɛs]
deserve [dɪ'zɜːv]
subscribe [səb'skraɪb]
clear [klɪə(r)]
chef [ʃef]
alternative [ɔːl'tɜːnətɪv]
zoom [zuːm]
colleague ['kɒliːɡ]
diamond ['daɪəmənd]
someone ['sʌmwʌn]
build [bɪld]
mean [miːn]
approve [ə'pruːv]
neither ['naɪðə(r)]
earn [ɜːn]
glad [ɡlæd]
chew [tʃuː]
pedestrian [pə'destriən]
hurry ['hʌri]
account [ə'kaʊnt]
tolerate ['tɒləreɪt]
radioactive [ˌreɪdiəʊ'æktɪv]
underline [ˌʌndə'laɪn]
innocent ['ɪnəsnt]
chopsticks ['tʃɒpstɪks]
alphabet ['ælfəbet]
ambiguous [æm'bɪɡjuəs]
advance [əd'vɑːns]
trip [trɪp]
botanical [bə'tænɪkl]
appreciate [ə'priːʃieɪt]
record ['rekɔːd]
diverse [daɪ'vɜːs]
cube [kjuːb]
strict [strɪkt]
jump [dʒʌmp]
knowledge ['nɒlɪdʒ]
happen ['hæpən]
pass [pɑːs]
past [pɑːst]
festival ['festɪvl]
shock [ʃɒk]
delighted [dɪ'laɪtɪd]
pancake ['pænkeɪk]
active ['æktɪv]
bill [bɪl]
whichever [wɪtʃ'evə(r)]
court [kɔːt]
whose [huːz]
bucket ['bʌkɪt]
senior ['siːniə(r)]
flexible ['fleksəbl]
relative ['relətɪv]
attitude ['ætɪtjuːd]
organ ['ɔːɡən]
average ['ævərɪdʒ]
compare [kəm'peə(r)]
sceptical ['skeptɪkl]
unwilling [ʌn'wɪlɪŋ]
thriller ['θrɪlə(r)]
transparent [træns'pærənt]
characteristic [ˌkærəktə'rɪstɪk]
how [haʊ]
grasp [ɡrɑːsp]
Buddhism ['bʊdɪzəm]
receptionist [rɪ'sepʃənɪst]
composition [ˌkɒmpə'zɪʃn]
unlike [ˌʌn'laɪk]
hearing ['hɪərɪŋ]
term [tɜːm]
volcano [vɒl'keɪnəʊ]
wedding ['wedɪŋ]
acquisition [ˌækwɪ'zɪʃn]
rigid ['rɪdʒɪd]
deadline ['dedlaɪn]
spare [speə(r)]
mine 
mind [maɪnd]
grateful ['ɡreɪtfl]
business ['bɪznəs]
bungalow ['bʌŋɡələʊ]
staff [stɑːf]
possible ['pɒsəbl]
partly ['pɑːtli]
breathless ['breθləs]
meet [miːt]
answer ['ɑːnsə(r)]
borrow ['bɒrəʊ]
maximum ['mæksɪməm]
under ['ʌndə(r)]
desert ['dezət]
represent [ˌreprɪ'zent]
compete [kəm'piːt]
die [daɪ]
radium ['reɪdiəm]
fragrant ['freɪɡrənt]
dig [dɪɡ]
accountant [ə'kaʊntənt]
stocking ['stɒkɪŋ]
sometimes ['sʌmtaɪmz]
emergency [i'mɜːdʒənsi]
promise ['prɒmɪs]
dip [dɪp]
hold [həʊld]
habit ['hæbɪt]
passport ['pɑːspɔːt]
absurd [əb'sɜːd]
burglar ['bɜːɡlə(r)]
considerate [kən'sɪdərət]
rubber ['rʌbə(r)]
legal ['liːɡl]
underwear ['ʌndəweə(r)]
talk [tɔːk]
reply [rɪ'plaɪ]
train [treɪn]
parcel ['pɑːsl]
test [test]
journey ['dʒɜːni]
count [kaʊnt]
graph [ɡræf]
upwards ['ʌpwədz]
feast [fiːst]
contradictory [ˌkɒntrə'dɪktəri]
take [teɪk]
accompany [ə'kʌmpəni]
petrol ['petrəl]
beneficial [ˌbenɪ'fɪʃl]
blame [bleɪm]
final ['faɪnl]
some [səm]
squeeze [skwiːz]
blank [blæŋk]
rather ['rɑːðə(r)]
importance [ɪm'pɔːtns]
session ['seʃn]
back [bæk]
worthy ['wɜːði]
endless ['endləs]
training ['treɪnɪŋ]
expectation [ˌekspek'teɪʃn]
mist [mɪst]
miss [mɪs]
pound [paʊnd]
load [ləʊd]
bite [baɪt]
ferry ['feri]
disgusting [dɪs'ɡʌstɪŋ]
ignore [ɪɡ'nɔː(r)]
loaf [ləʊf]
reception [rɪ'sepʃn]
applaud [ə'plɔːd]
just [dʒʌst]
outward ['aʊtwəd]
notice ['nəʊtɪs]
yummy ['jʌmi]
holy ['həʊli]
relax [rɪ'læks]
relay ['riːleɪ]
custom ['kʌstəm]
length [leŋθ]
permission [pə'mɪʃn]
grand [ɡrænd]
schedule ['ʃedjuːl]
eastwards ['iːstwədz]
print [prɪnt]
rewind [ˌriː'waɪnd]
although [ɔːl'ðəʊ]
material [mə'tɪəriəl]
approximately [ə'prɒksɪmətli]
encouragement [ɪn'kʌrɪdʒmənt]
universe ['juːnɪvɜːs]
biochemistry [ˌbaɪəʊ'kemɪstri]
iron ['aɪən]
idiom ['ɪdiəm]
blanket ['blæŋkɪt]
hug [hʌɡ]
explain [ɪk'spleɪn]
envy ['envi]
discount ['dɪskaʊnt]
construct [kən'strʌkt]
hope [həʊp]
attempt [ə'tempt]
soon [suːn]
division [dɪ'vɪʒn]
tablet ['tæblət]
hook [hʊk]
balance ['bæləns]
bend [bend]
action ['ækʃn]
lock [lɒk]
stadium ['steɪdiəm]
fear [fɪə(r)]
appreciation [əˌpriːʃi'eɪʃn]
electrical [ɪ'lektrɪkl]
statue ['stætʃuː]
sense [sens]
cream [kriːm]
sensitive ['sensətɪv]
being ['biːɪŋ]
vacant ['veɪkənt]
afford [ə'fɔːd]
birthplace ['bɜːθpleɪs]
dustbin ['dʌstbɪn]
impression [ɪm'preʃn]
interval ['ɪntəvl]
evaluate [ɪ'væljueɪt]
status ['steɪtəs]
upset [ʌp'set]
dot [dɒt]
deliver [dɪ'lɪvə(r)]
tailor ['teɪlə(r)]
stamp [stæmp]
skip [skɪp]
phenomenon [fə'nɒmɪnən]
mention ['menʃn]
mad [mæd]
barbecue ['bɑːbɪkjuː]
file [faɪl]
laundry ['lɔːndri]
member ['membə(r)]
brewery ['bruːəri]
accumulate [ə'kjuːmjəleɪt]
crime [kraɪm]
stand [stænd]
surround [sə'raʊnd]
together [tə'ɡeðə(r)]
pavement ['peɪvmənt]
cigarette [ˌsɪɡə'ret]
may [meɪ]
could [kəd]
forward ['fɔːwəd]
bent [bent]
strike [straɪk]
health [helθ]
positive ['pɒzətɪv]
favourite ['feɪvərɪt]
bless [bles]
menu ['menjuː]
Pacific [pə'sɪfɪk]
able ['eɪbl]
mend [mend]
return [rɪ'tɜːn]
mail [meɪl]
conscience ['kɒnʃəns]
subject ['sʌbdʒɪkt]
use [juːs]
bonus ['bəʊnəs]
feel [fiːl]
main [meɪn]
thrill [θrɪl]
serve [sɜːv]
cassette [kə'set]
smile [smaɪl]
fine [faɪn]
find [faɪnd]
host [həʊst]
accelerate [ək'seləreɪt]
grain [ɡreɪn]
international [ˌɪntə'næʃnəl]
maid [meɪd]
credit ['kredɪt]
oxygen ['ɒksɪdʒən]
regardless [rɪ'ɡɑːdləs]
terrible ['terəbl]
combine [kəm'baɪn]
upward ['ʌpwəd]
waste [weɪst]
citizen ['sɪtɪzn]
occur [ə'kɜː(r)]
comedy ['kɒmədi]
pleasant ['pleznt]
difficult ['dɪfɪkəlt]
pressure ['preʃə(r)]
sort [sɔːt]
fill [fɪl]
dentist ['dentɪst]
numb [nʌm]
feed [fiːd]
forget [fə'ɡet]
professor [prə'fesə(r)]
convenient [kən'viːnjənt]
specialist ['speʃəlɪst]
compass ['kʌmpəs]
background ['bækɡraʊnd]
true [truː]
adolescent [ˌædə'lesnt]
valley ['væli]
position [pə'zɪʃn]
present ['preznt]
laughter ['lɑːftə(r)]
since [sɪns]
patent ['pætnt]
belong [bɪ'lɒŋ]
soul [səʊl]
dangerous ['deɪndʒərəs]
certificate [sə'tɪfɪkət]
mess [mes]
sour ['saʊə(r)]
delete [dɪ'liːt]
stain [steɪn]
breath [breθ]
transform [træns'fɔːm]
advise [əd'vaɪz]
repeat [rɪ'piːt]
physical ['fɪzɪkl]
make [meɪk]
microwave ['maɪkrəweɪv]
rooster ['ruːstə(r)]
brochure ['brəʊʃə(r)]
master ['mɑːstə(r)]
extraordinary [ɪk'strɔːdnri]
witness ['wɪtnəs]
conventional [kən'venʃənl]
regulation [ˌreɡju'leɪʃn]
due [djuː]
ripen ['raɪpən]
puzzle ['pʌzl]
evident ['evɪdənt]
accommodation [əˌkɒmə'deɪʃn]
authentic [ɔː'θentɪk]
socket ['sɒkɪt]
biscuit ['bɪskɪt]
fence [fens]
breast [brest]
mercy ['mɜːsi]
annoy [ə'nɔɪ]
inform [ɪn'fɔːm]
depend [dɪ'pend]
commit [kə'mɪt]
about [ə'baʊt]
scream [skriːm]
sorrow ['sɒrəʊ]
cure [kjʊə(r)]
danger ['deɪndʒə(r)]
crash [kræʃ]
cover ['kʌvə(r)]
firm [fɜːm]
character ['kærəktə(r)]
reflect [rɪ'flekt]
contribution [ˌkɒntrɪ'bjuːʃn]
above [ə'bʌv]
fire ['faɪə(r)]
stick [stɪk]
orbit ['ɔːbɪt]
band [bænd]
height [haɪt]
spray [spreɪ]
distinguish [dɪ'stɪŋɡwɪʃ]
outer ['aʊtə(r)]
invent [ɪn'vent]
fluent ['fluːənt]
wonderful ['wʌndəfl]
shortcoming ['ʃɔːtkʌmɪŋ]
haircut ['heəkʌt]
howl [haʊl]
something ['sʌmθɪŋ]
benefit ['benɪfɪt]
flood [flʌd]
quality ['kwɒləti]
intention [ɪn'tenʃn]
booth [buːð]
rude [ruːd]
enthusiastic [ɪnˌθjuːzi'æstɪk]
symptom ['sɪmptəm]
funeral ['fjuːnərəl]
unique [ju'niːk]
except [ɪk'sept]
ministry ['mɪnɪstri]
religious [rɪ'lɪdʒəs]
shelter ['ʃeltə(r)]
fact [fækt]
examine [ɪɡ'zæmɪn]
scan [skæn]
fundamental [ˌfʌndə'mentl]
association [əˌsəʊʃi'eɪʃn]
believe [bɪ'liːv]
remember [rɪ'membə(r)]
outline ['aʊtlaɪn]
fade [feɪd]
unless [ən'les]
glance [ɡlɑːns]
free [friː]
equality [i'kwɒləti]
mix [mɪks]
ought [ɔːt]
dictation [dɪk'teɪʃn]
crayon ['kreɪən]
honour ['ɒnə(r)]
bother ['bɒðə(r)]
expression [ɪk'spreʃn]
middle ['mɪdl]
childhood ['tʃaɪldhʊd]
though [ðəʊ]
thorough ['θʌrə]
appeal [ə'piːl]
everyday ['evrideɪ]
stay [steɪ]
appear [ə'pɪə(r)]
face [feɪs]
abandon [ə'bændən]
congratulation [kənˌgrætjʊ'leɪʃən]
inspire [ɪn'spaɪə(r)]
afraid [ə'freɪd]
progress ['prəʊɡres]
geometry [dʒi'ɒmətri]
invite [ɪn'vaɪt]
open ['əʊpən]
devote [dɪ'vəʊt]
agent ['eɪdʒənt]
treat [triːt]
abortion [ə'bɔːʃn]
bishop ['bɪʃəp]
suffering ['sʌfərɪŋ]
afterward ['ɑːftəwəd]
reputation [ˌrepju'teɪʃn]
project ['prɒdʒekt]
inside [ˌɪn'saɪd]
independence [ˌɪndɪ'pendəns]
presentation [ˌprezn'teɪʃn]
whenever [wen'evə(r)]
dynasty ['dɪnəsti]
bark [bɑːk]
greedy ['ɡriːdi]
awkward ['ɔːkwəd]
bare [beə(r)]
ruin ['ruːɪn]
mutton ['mʌtn]
celebrate ['selɪbreɪt]
admirable ['ædmərəbl]
please [pliːz]
look [lʊk]
offshore [ˌɒf'ʃɔː(r)]
fortnight ['fɔːtnaɪt]
scar [skɑː(r)]
mountainous ['maʊntənəs]
inspect [ɪn'spekt]
campaign [kæm'peɪn]
vital ['vaɪtl]
conflict ['kɒnflɪkt]
allow [ə'laʊ]
rough [rʌf]
knock [nɒk]
mass [mæs]
rule [ruːl]
proper ['prɒpə(r)]
update [ˌʌp'deɪt]
amateur ['æmətə(r)]
poisonous ['pɔɪzənəs]
condemn [kən'dem]
assistance [ə'sɪstəns]
bitter ['bɪtə(r)]
speed [spiːd]
gesture ['dʒestʃə(r)]
admit [əd'mɪt]
common ['kɒmən]
interest ['ɪntrəst]
wonder ['wʌndə(r)]
sleepy ['sliːpi]
sneeze [sniːz]
bath [bɑːθ]
every ['evri]
mask [mɑːsk]
thermos ['θɜːməs]
summary ['sʌməri]
apply [ə'plaɪ]
overlook [ˌəʊvə'lʊk]
politician [ˌpɒlə'tɪʃn]
taxpayer ['tækspeɪə(r)]
indeed [ɪn'diːd]
seagull ['siːɡʌl]
artificial [ˌɑːtɪ'fɪʃl]
disagree [ˌdɪsə'ɡriː]
comment ['kɒment]
step [step]
forever [fər'evə(r)]
mark [mɑːk]
base [beɪs]
employ [ɪm'plɔɪ]
trend [trend]
achievement [ə'tʃiːvmənt]
whole [həʊl]
fair [feə(r)]
during ['djʊərɪŋ]
balcony ['bælkəni]
revolution [ˌrevə'luːʃn]
mop [mɒp]
consist [kən'sɪst]
preparation [ˌprepə'reɪʃn]
relation [rɪ'leɪʃn]
reliable [rɪ'laɪəbl]
loss [lɒs]
relate [rɪ'leɪt]
typhoon [taɪ'fuːn]
decoration [ˌdekə'reɪʃn]
eggplant ['eɡplɑːnt]
zip [zɪp]
profession [prə'feʃn]
still [stɪl]
worn [wɔːn]
arise [ə'raɪz]
dizzy ['dɪzi]
work [wɜːk]
lose [luːz]
agree [ə'ɡriː]
fail [feɪl]
toward [tə'wɔːd]
enjoyable [ɪn'dʒɔɪəbl]
